# SPDX-License-Identifier: MIT
# host sampler, 1 Hz, local time: ts,used_mib,free_mib,util,enc_sessions,enc_fps,desktop_mib,desktop2_mib -- accounting policy, 2026-08-21.
ts,used_mib,free_mib,util,enc_sessions,enc_fps,desktop_mib,desktop2_mib
20:41:47,7035,738,75,0,0,3001,3046
20:41:48,7043,730,67,0,0,2975,3028
20:41:49,6932,841,74,0,0,2997,2964
20:41:50,7043,729,78,0,0,3069,3086
20:41:51,6957,816,77,0,0,2931,2966
20:41:52,7031,742,69,0,0,3077,3010
20:41:53,6895,878,69,0,0,3055,2932
20:41:54,6987,786,74,0,0,3039,3062
20:41:55,7017,756,75,0,0,3085,2980
20:41:56,7075,698,76,0,0,3057,3050
20:41:57,6913,860,70,0,0,2963,3026
20:41:58,7013,760,74,0,0,3021,3092
20:41:59,6959,814,72,0,0,3073,3028
20:42:00,7007,766,77,0,0,3001,2974
20:42:01,6913,860,74,0,0,2911,2962
20:42:02,6997,776,77,0,0,3085,2948
20:42:04,6969,804,76,0,0,3055,2964
20:42:05,6983,790,69,0,0,3063,2978
20:42:06,7078,694,75,0,0,3089,3022
20:42:07,7154,618,55,0,0,3007,2978
20:42:08,7062,711,46,0,0,3011,3052
20:42:09,6963,809,45,0,0,2997,3084
20:42:10,7019,753,48,0,0,3025,3010
20:42:11,6929,844,49,0,0,3065,3076
20:42:12,7084,688,70,0,0,2941,2992
20:42:13,6866,907,74,0,0,3017,2893
20:42:14,6957,815,77,0,0,3087,3079
20:42:15,7013,759,77,0,0,3007,2931
20:42:16,6990,783,73,0,0,2959,3067
20:42:17,7007,766,70,0,0,3071,2965
20:42:18,7027,745,77,0,0,3041,2981
20:42:19,6973,799,77,0,0,3017,3051
20:42:20,7096,676,78,0,0,2931,3045
20:42:21,6833,940,69,0,0,3013,2979
20:42:23,7150,622,76,0,0,3061,2999
20:42:24,6922,850,68,0,0,2967,3071
20:42:25,6946,826,77,0,0,3051,2997
20:42:26,6938,834,69,0,0,2973,3075
20:42:27,7035,738,73,0,0,3063,3039
20:42:28,7012,761,71,0,0,3087,3015
20:42:29,6931,842,76,0,0,3089,3019
20:42:30,6956,816,70,0,0,3085,3033
20:42:31,6971,802,78,0,0,3017,3059
20:42:32,7115,657,62,0,0,3069,2985
20:42:33,7137,635,45,0,0,3009,3065
20:42:34,7041,731,45,0,0,2999,3059
20:42:35,7059,713,46,0,0,2979,3005
20:42:36,6845,928,48,0,0,3071,3003
20:42:37,6948,825,52,0,0,3065,3043
20:42:38,7026,747,73,0,0,3037,3085
20:42:39,7033,740,75,0,0,3055,3027
20:42:41,7118,655,74,0,0,2991,3027
20:42:42,6967,806,70,0,0,2957,2971
20:42:43,6992,781,69,0,0,2985,3045
20:42:44,6983,790,74,0,0,2989,2985
20:42:45,7034,738,43,0,0,3091,3071
20:42:46,6906,866,45,0,0,2983,2883
20:42:47,7119,654,44,0,0,2991,2993
20:42:48,6996,776,43,0,0,2947,2945
20:42:49,7062,710,46,0,0,3041,2965
20:42:50,6934,838,70,0,0,3031,3053
20:42:51,6998,774,73,0,0,3057,3087
20:42:52,7038,734,76,0,0,2949,2893
20:42:53,6966,806,74,0,0,3065,2991
20:42:54,7052,720,73,0,0,3029,3009
20:42:55,7127,645,66,0,0,2977,3003
20:42:56,7035,737,70,0,0,2977,3003
20:42:58,7123,650,77,0,0,3025,3081
20:42:59,6921,852,76,0,0,3053,2927
20:43:00,6961,812,75,0,0,3017,2939
20:43:01,7056,717,73,0,0,2965,3015
20:43:02,7115,657,66,0,0,3055,2999
20:43:03,6947,826,68,0,0,2995,2967
20:43:04,6943,830,73,0,0,3067,3041
20:43:05,6954,818,68,0,0,2969,2947
20:43:06,7140,632,74,0,0,2969,3009
20:43:07,6989,783,71,0,0,3077,3053
20:43:08,6965,807,70,0,0,2991,3055
20:43:09,6992,780,78,0,0,2969,3005
20:43:10,6938,834,70,0,0,2989,3001
